name,address,phone,website,rating,reviews,status,lat,lng,category,commerce_mode,opening_hours,google_maps_url,onboarding_status,source
Mangal Agencies-Best cosmetics shop in Bangalore-wholesale and retail store,"K 4, Basement Floor, FMC Complex, Kumbarpet Main Rd, Ragipet, KR Market, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",080 2221 3090,,4.7,10,OPERATIONAL,12.966467999999999,77.578458,Cosmetics,A,Monday: 8:00 AM – 8:30 PM,https://maps.google.com/?cid=13835666744481140584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Meenakshi Marketing,"Metro Station, #64, Vinayaka, Gundopanth St, near Chickpete, KR Market, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",080 4148 5242,,4.5,10,OPERATIONAL,12.967401299999999,77.5759526,Cosmetics,A,Monday: 10:15 AM – 8:30 PM,https://maps.google.com/?cid=4715226939489658772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Payal Impex and cosmetic,"9, Diwan Khan Ln, Ragipet, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",090361 02417,,3.9,21,OPERATIONAL,12.9666441,77.57808899999999,Cosmetics,A,Monday: 9:00 AM – 8:30 PM,https://maps.google.com/?cid=3957279796641682840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Prince Beauty world,"Shop no 1 ground floor, Kesar plaza, 20/1, 2nd Cross, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",095354 06937,,5,1,OPERATIONAL,12.9698266,77.5741503,Cosmetics,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=15859023154835338575&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Rajguru Store,"2, SVK Complex, 20, Chowdeshwari Temple St, near Raja market, Medarpet, Kumbarpet, Ganigarpet, Nagarathpete, Channarayaswamy, Bengaluru, Karnataka 560002, India",089518 28340,https://nfc.dgtechsoln.com/rajguru-store/,4.8,103,OPERATIONAL,12.966908499999999,77.5793752,Cosmetics,A,Monday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=16257018314007803261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Sagar Stores,"Purvi Plaza Shop No F-8, 1st floor, Police Station, Cottonpet Main Rd, near Cottonpet, Bakshi Gardens, Cottonpete, Bengaluru, Karnataka 560053, India",089043 12517,https://www.sagarstores.in/,4.7,141,OPERATIONAL,12.967441100000002,77.5700962,Cosmetics,A,Monday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=12279262174758461704&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Shree Cosmetics And Decoration,"No 8 1st Floor, S R Complex, PS Char Ln, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",096864 60046,,4.8,33,OPERATIONAL,12.969648699999999,77.574986,Cosmetics,A,Monday: 8:00 AM – 9:00 PM,https://maps.google.com/?cid=4296243584771207450&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Shree Marketing,"294 / 1, Ragipet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",095357 24091,https://site.dgtechsoln.com/shree-marketing/,5,25,OPERATIONAL,12.967068999999999,77.5773327,Cosmetics,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=16755584272619493055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Vaibhav Stores,"F3, 1091, Nagarathpet Main Rd, above ICICI Bank, Halsurpete, Nagarathpete, Bengaluru, Karnataka 560002, India",078296 32084,https://www.vaibhavstores.in/?utm_source=Google+Map+Pack&utm_medium=Local+SEO&utm_campaign=GMB,4.5,3093,OPERATIONAL,12.9655582,77.58462589999999,Cosmetics,A,Monday: 10:00 AM – 7:00 PM,https://maps.google.com/?cid=15719262654793422851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Vishal cosmetics,"7, cross, PS Char Ln, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",099503 41006,,4.3,9,OPERATIONAL,12.9702772,77.5740455,Cosmetics,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=8602369920770407479&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
ADITYA ENTERPRISES Dry fruits and Spices wholesale,"45, O.T.Pet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",098450 34266,,4.7,16,OPERATIONAL,12.967668900000001,77.57618649999999,Dry Fruits,A,Monday: 11:00 AM – 7:30 PM,https://maps.google.com/?cid=12153774204504142213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
ANMOL DRY FRUITS,"1/2, 25 th cross, Rangaswamy Temple St, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",080 2235 4377,,4.5,21,OPERATIONAL,12.9709787,77.57763949999999,Dry Fruits,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=13497622603739111823&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
"ARVIND TRADING CO.,","14, Ragipet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",099003 50057,,4,57,OPERATIONAL,12.966913199999999,77.57754659999999,Dry Fruits,A,Monday: 11:00 AM – 7:30 PM,https://maps.google.com/?cid=15087320768322374767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Adinath Dry Fruits,"292, Ragipet, Old Tharagupet, Mamulpet, New Tharagupet, Bengaluru, Karnataka 560053, India",098456 58158,,4.3,67,OPERATIONAL,12.967046499999999,77.5771834,Dry Fruits,A,Monday: 10:00 AM – 7:30 PM,https://maps.google.com/?cid=14044130772719618951&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Arvind Mewa,"493, Avenue Rd, opp. to Raja Market, Kumbarpet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",080 4161 3434,http://www.arvindmewa.com/,4.6,88,OPERATIONAL,12.9677832,77.5784726,Dry Fruits,A,Monday: 10:15 AM – 8:30 PM,https://maps.google.com/?cid=10186752139775515990&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Bangalore dry fruits,"Vasavi Complex, O.T.Pet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",,,4.5,83,OPERATIONAL,12.9680666,77.57515099999999,Dry Fruits,A,Monday: Open 24 hours,https://maps.google.com/?cid=8145816294529690718&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
DRY FRUIT SPECIALS,"#23/1, 12th Cross Rd, Chinnayanpalya, Wilson Garden, Bengaluru, Karnataka 560027, India",070223 16752,,4.8,475,OPERATIONAL,12.948227300000001,77.5985843,Dry Fruits,A,Monday: 10:00 AM – 10:00 PM,https://maps.google.com/?cid=2877274215456104346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
LeafNutz - Dryfruits - wholesale dryfruits - dryfruit shop near me - bangalore dryfruits - leaf nutz,"1, 3rd Main Rd, Nagappa Block, Srirampura, Bengaluru, Karnataka 560021, India",070196 36073,https://leafnutz.in/,5,125,OPERATIONAL,12.9961854,77.5639473,Dry Fruits,A,Monday: 10:30 AM – 9:00 PM,https://maps.google.com/?cid=8632710751493922908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Manak Mewa - RT Street,"232, Rangaswamy Temple St, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",080 2225 2235,http://www.manakmewa.com/,4.3,2096,OPERATIONAL,12.970753199999999,77.5784024,Dry Fruits,A,Monday: 10:00 AM – 9:00 PM,https://maps.google.com/?cid=4794483391145922739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Marudhar Mewa Dry Fruit Store,"#56, Rangaswamy Temple St, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",088842 75000,http://www.marudharmewa.com/,4.1,553,OPERATIONAL,12.9708373,77.57811579999999,Dry Fruits,A,Monday: 10:00 AM – 9:30 PM,https://maps.google.com/?cid=3151106799805965708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Mohit Dry Fruits & Spices,"Shop No 10, Pooja Avenue Complex, O.T.Pet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",083065 16212,,4.8,23,OPERATIONAL,12.968021499999999,77.57555959999999,Dry Fruits,A,Monday: 9:30 AM – 9:00 PM,https://maps.google.com/?cid=15645174207562578124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
N F Enterprises,"Shop No: 7, JBK Complex, 405, Avenue Rd, Ragipet, KR Market, Mamulpet, Kalasipalya, Bengaluru, Karnataka 560053, India",093423 09146,,4.8,17,OPERATIONAL,12.966624699999999,77.577761,Dry Fruits,A,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=828318617220821636&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
PRIYA DRY FRUITS,"5, Slv Complex, no, Cross, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",084319 32968,,4.4,55,OPERATIONAL,12.9668092,77.57637729999999,Dry Fruits,A,Monday: 8:00 AM – 9:00 PM,https://maps.google.com/?cid=17039732405966991014&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Raja Ram Dry Fruits,"5, SLV COMPLEX, Old Tharagupet, CROSS, Chickpet, Bengaluru, Karnataka 560053, India",098874 29802,https://youtu.be/TasKlkzxu-U?si=MVKq9fqPI_w__QJ5,4.3,3,OPERATIONAL,12.9667748,77.5764021,Dry Fruits,A,Monday: 8:00 AM – 9:00 PM,https://maps.google.com/?cid=17456810196370662907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
SHRIDHAR,"16,, Ragipet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",095900 20907,,4.8,43,OPERATIONAL,12.9669384,77.57749989999999,Dry Fruits,A,Monday: 11:00 AM – 8:00 PM,https://maps.google.com/?cid=10096766250213279623&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
SRI SAI SIDDHI MARKETING,"VSNL Tower, 76/3, Gound Floor, Old Tharagupet, Cross, Chickpet, Bengaluru, Karnataka 560053, India",099455 89854,,4.5,13,OPERATIONAL,12.9671089,77.5763461,Dry Fruits,A,Monday: 9:00 AM – 8:00 PM,https://maps.google.com/?cid=13009868939033883639&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Shubham dry fruits,"263/64, Sultanpete Main Rd, O.T.Pet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",095916 82693,,4.3,65,OPERATIONAL,12.967815,77.5761299,Dry Fruits,A,Monday: 10:00 AM – 9:30 PM,https://maps.google.com/?cid=11622601373431420981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Sri Balaji Dry Fruits,"Ground floor, No. 38, Sri Balaji Traders, 560018, New Tharagupet, Bengaluru, Karnataka 560002, India",090019 55761,,4.9,29,OPERATIONAL,12.9639545,77.5710242,Dry Fruits,A,Monday: 10:30 AM – 7:30 PM,https://maps.google.com/?cid=9332709817230227651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Swasthik Dry Fruits,"35, 3rd Main Rd, New Tharagupet, Bengaluru, Karnataka 560002, India",098458 91521,,4.9,59,OPERATIONAL,12.963855599999999,77.5709826,Dry Fruits,A,Monday: 10:30 AM – 8:00 PM,https://maps.google.com/?cid=9805915322918298632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
The Bharat Trading Co,"BABA MARKET, 7, Old Kasai Rd, behind raja market, parallel to Avenue Road, Kumbarpet, Ganigarpet, Nagarathpete, Bengaluru, Karnataka 560002, India",,https://www.thebharattradingco.com/,4.6,136,OPERATIONAL,12.967329099999999,77.5791199,Dry Fruits,A,Monday: 11:00 AM – 8:00 PM,https://maps.google.com/?cid=370875208979140255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Amar Electrical Enterprises,"Ganga Complex, 25, AM Ln, near Vijay Vihar Hotel, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",080 4114 3350,http://www.amarelectrical.in/,4.7,324,OPERATIONAL,12.9698427,77.5763922,Electrical,B,Monday: 10:30 AM – 8:00 PM,https://maps.google.com/?cid=9396107964132096574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Finolex Wires - Sri Hindwani Electricals,"234, SV Ln, near Hotel Vijay Vihar, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",099160 65658,https://hindwanielectrical.in/,4.9,754,OPERATIONAL,12.969198899999999,77.5761507,Electrical,B,Monday: 10:30 AM – 8:00 PM,https://maps.google.com/?cid=7919517974921118949&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Kushal Electricals,"52,1st floor,2nd cross, M.t street, BVK Iyengar Rd, cross, Chickpet, Bengaluru, Karnataka 560053, India",063616 89226,http://kushalelectricals.com/,5,230,OPERATIONAL,12.970354600000002,77.57657410000002,Electrical,B,Monday: 9:00 AM – 9:30 PM,https://maps.google.com/?cid=6852207275793755157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
M.P. Electricals (Halonix Distributors),"114, Laxman Row Road, BVK Iyengar Rd, Huriopet, cross, Bengaluru, Karnataka 560053, India",098866 33560,,4.9,80,OPERATIONAL,12.971480500000002,77.5760518,Electrical,B,Monday: 9:00 AM – 9:00 PM,https://maps.google.com/?cid=12860745485768588616&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
MAA PADMAVATI ELECTRICALS,"91 shop no.2 srinidhi complex Lakshman rao road, Balepete Main Rd, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",097425 91136,,4.9,34,OPERATIONAL,12.972014099999999,77.5746451,Electrical,B,Monday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=3808358164875741309&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
MAHARAJA ELECTRICALS ( Hi-Fi Authorised distributor ),"No 6/41 DVK COMPLEX A.M lane, BVK Iyengar Rd, near DOSA point, Basettypet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",097430 64443,,4.8,172,OPERATIONAL,12.970339599999999,77.5756703,Electrical,B,Monday: 10:30 AM – 8:00 PM,https://maps.google.com/?cid=7729038365173166671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Mahesh Electrical,"50/3 G K Temple Street, Lakshmana Rao Rd, Basettypet, Cross, Chickpet, Bengaluru, Karnataka 560053, India",094484 06665,http://maheshelectrical.com/,4.6,83,OPERATIONAL,12.9716772,77.5750946,Electrical,B,Monday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=16414659893874262557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Meenakshi Electric Corporation- Anchor electrical product Distributor,"No 8, santha veeraiah lane, Chickpet Rd, near Sudarshan silks, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",099801 08100,,4.2,43,OPERATIONAL,12.9691533,77.5761425,Electrical,B,Monday: 10:30 AM – 7:30 PM,https://maps.google.com/?cid=12034818438813756806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Megawatts Electric Co,"New No. 1, 359, Chickpet Rd, opp. Varmahalakshmi Silks, near Vijay Vihar Hotel, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",095918 88188,,4.9,186,OPERATIONAL,12.969673799999999,77.5761571,Electrical,B,Monday: 10:30 AM – 7:30 PM,https://maps.google.com/?cid=11432122561825163892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Namma Electricals - Your #1 Retail and Wholesale Electrical Supplier in India.,"2nd floor, Vijaya Lakshmi Complex, Old Taluk Cutchery Rd, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",099162 28400,,4.8,390,OPERATIONAL,12.970387800000001,77.5746209,Electrical,B,Monday: 9:30 AM – 9:00 PM,https://maps.google.com/?cid=125327811367023561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Nandi Electricals and Hardware,"Shop No. 5, 38, M.T. Street, BVK Iyengar Rd, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",074165 81008,https://www.youtube.com/@NANDIELECTRICALSHARDWARE,4.8,58,OPERATIONAL,12.9704793,77.5767441,Electrical,B,Monday: 9:00 AM – 8:00 PM,https://maps.google.com/?cid=16997438066245347914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Prakash Electrical & Lighting,"Abhinay Theatre Complex Basement, Maharaja Complex, 39, Hospital Rd, behind Kempegowda, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",089515 19385,,4.1,17,OPERATIONAL,12.9730454,77.57797149999999,Electrical,B,Monday: 10:00 AM – 9:00 PM,https://maps.google.com/?cid=3689013041026648224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Prakash Electrical Enterprises Pvt. Ltd.,"74/9, Sri Plaza, AM Ln, 7th Cross, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",099865 06456,https://www.prakashelectrical.com/,4.3,51,OPERATIONAL,12.969849199999999,77.5768748,Electrical,B,Monday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=15710187569105159228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
Shiyal Electric CO,"No 1/2, Shiyal Towers, 3rd Cross Rd, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",085499 99979,http://www.shiyalelectricals.com/,4.7,330,OPERATIONAL,12.9697497,77.5761472,Electrical,B,Monday: 11:00 AM – 8:00 PM,https://maps.google.com/?cid=850125759777662131&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
VASANT ELECTRICALS- GODOWN,"DANDINA SUBBAMMA LANE, No. 10, KV Temple Street Cross, Balepete, Chickpet, Bengaluru, Karnataka 560053, India",099809 96666,,4.9,242,OPERATIONAL,12.971314699999999,77.57301609999999,Electrical,B,Monday: 10:30 AM – 9:30 PM,https://maps.google.com/?cid=751265870807595321&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
VEER ELECTRICALS - Your Wholesale Electrical Partner,"shop no B2, 13, MT St, opposite to Ram temple, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",080 4148 0134,https://www.instagram.com/veerelectricalblr?igsh=MXcxN3luOG5qa3B5Mg==,4.9,37,OPERATIONAL,12.9705414,77.5767192,Electrical,B,Monday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=815652749133875189&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending,Google Maps API
