name,category,commerce_mode,rating,reviews,phone,address,google_maps_url,onboarding_status
Triveni cards bengaluru,Wedding Cards,B,4.2,1046.0,087223 53077,"24, KV Temple Street Cross, opp. Shri Charan Co. Op. Bank, Santhusapet, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=6963418832864659538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
vardhman packaging,Gift Bags,B,4.9,838.0,093430 04163,"no 225 shop no 1 A s Char street, circle, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=584431009736548786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Kurta Ghar - Chickpet,General,B,4.7,867.0,099011 34797,"Laxman, 738, Subbarao Lane, inside the Opposite lane of Kala Mandir, Ragipet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=16215551683222721915&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
MANJU Toys & Games,Toys,A,4.7,825.0,093538 76822,"Kv temple street (Manju Toys & Games, 2nd FLOOR, Opposition to BBMP office, Police Rd, near Balepet, Sowrashtrapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=8042933329483612466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Chickpet Sarees Shop,General,B,3.9,986.0,,"M P, 1-132, Gurkar Ramanayak Ln, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=18299743586549103250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Kanchi Co Yogalakshmi Silks,Saree,B,4.4,664.0,097392 29774,"5, Basement floor, Rajatha complex am lane, 53, cross, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=11710876070023474428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Udupi Stores,General,B,4.3,645.0,099001 47180,"Ground Floor, 6/19, Gundopanth St, near Sri Krishna Mandir, Ragipet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=14728257932770242176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Avinash Inc,Steel/Utensils,B,4.6,569.0,097433 22111,"135, Ground Floor, AVM SQUARE Arcot Srinivasa Char Street, cross, Police Rd, opp. to Metro Station Chickpete, Ranasinghpete, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=15130008228645997651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Chandan Card Centre,Wedding Cards,B,4.6,546.0,081057 62313,"H-61/2, 7th cross cross, Sultanpete Main Rd, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=16560377626244869610&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Wholesale price toys shop,Toys,A,4.9,491.0,083103 64799,"11 ANNIYAPPA LAYOUT 3rd main road, Landmark Ranta printer and thirumala printer, 11th Cross Rd, SBI Colony, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",https://maps.google.com/?cid=10952029408897460711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Srivaaru Silks,Saree,B,4.0,586.0,080 2225 8444,"No.248, Chickpet Rd, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=5793960961774088441&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
DRY FRUIT SPECIALS,Dry Fruits,A,4.8,475.0,070223 16752,"#23/1, 12th Cross Rd, Chinnayanpalya, Wilson Garden, Bengaluru, Karnataka 560027, India",https://maps.google.com/?cid=2877274215456104346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sri Textiles,Textile,B,4.1,520.0,080 2238 0709,"No-319, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=14551377104137418537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Kalash Gifts,Gift Bags,B,4.9,420.0,098809 88528,"11, Royal Complex, behind Hotel Raghavendra, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=11162157893654667961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
R.K. Toys and gifts,Return Gifts,A,4.9,407.0,081971 15528,"Mahaveer Mansion, 1/4, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=17197309260096231251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Praveen Jewellers,Jewellery,C,4.4,437.0,093412 60116,"Avenue Rd, Ballapurpet, Nagarathpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=12980925109965430861&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Namma Electricals - Your #1 Retail and Wholesale Electrical Supplier in India.,Electrical,B,4.8,390.0,099162 28400,"2nd floor, Vijaya Lakshmi Complex, Old Taluk Cutchery Rd, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=125327811367023561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Dhondusas,General,B,4.3,424.0,099641 64163,"SHOP NO.1, MARUTI PLAZA, 594, Chickpet Rd, Basettypet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=10643878217092738541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
SHAKTHI MARKETING,Watches,C,4.9,370.0,081475 72755,"Kempegowda Rd, Balepete, Gandhi Nagar, Bengaluru, Karnataka 560009, India",https://maps.google.com/?cid=13939389732738485378&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sri Venkateshwara Silks,General,B,4.0,448.0,080 2226 9016,"XHFH+83H, BVK Iyengar Rd, Anchepet, Chickpet, Bengaluru, Karnataka 560009, India",https://maps.google.com/?cid=130885242301005661&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Milap Sarees - New Branch,Saree,B,4.7,376.0,090351 97793,"722,E.S Lane, Chickpet Cross Near Chickpet Plaza, Ragipet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=3665609404369374485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Saravana Cards,Wedding Cards,B,4.6,372.0,090087 21436,"Sulthan pet road, circle, Balepete, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=3224582256678870679&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Ayush Card Creation,Wedding Cards,B,4.9,349.0,087643 06682,"30, KV Temple Street Cross, Santhusapet, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=14324226262539092450&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Kheteshwara Fancy Stores ( Branch),Imitation Jewellery,B,4.9,345.0,085531 68450,"217, 2nd floor, FMC Complex, Kumbarpet Main Rd, Ragipet, KR Market, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=7143503829774317483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
wholesale cane basket,Gift Bags,B,4.8,330.0,095352 24571,"13-128, Mamulpet Rd, Ragipet, Kumbarpet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=8691637417799515394&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
HJR JEWELS & DIAMONDS,Jewellery,C,4.2,374.0,,"98/99, CT St, Kumbarpet, Ganigarpet, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=1615745124391841426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Mataji saree wholesale dealers,Saree,B,4.9,307.0,099024 46691,"K Nettakallappa Market, 133/4, Diwan Khan Ln, near Sunrise jewellery, Kumbarpet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=6675466083268005801&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Rajkumar The Card Shop,Wedding Cards,B,3.5,419.0,098442 97464,"Sultanpet Circle, No 177, Sultanpete Main Rd, near Chickpete Police Station, Sowrashtrapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=12657163566350661772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
PRADEEP FASHION,Textile,B,4.8,301.0,094492 49460,"4/1, VS Ln, opp. KUBERAN SILK, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=17372750480480242428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Chickpet Market,General,B,4.2,342.0,,"XHCG+9G8, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=4962979069484615120&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Indira Market,General,B,4.0,358.0,,"XH8J+J8X, Nagarathpet Main Rd, Gollarpet, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=16691895287215164355&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Veena Musicals (Chickpet),Musical Instruments,C,4.1,345.0,080 2225 7780,"Subodh Bhawan, 6/2, Old Taluk Cutchery Rd, Sowrashtrapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=630216302632466529&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Ram Medical Stores,General,B,4.3,301.0,080 2221 1666,"XH8J+HJG, 39, Nagarathpet Main Rd, Medarpet, Kumbarpet, Halsurpete, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=15330043959441885703&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Prathap Stores,General,B,4.4,277.0,093426 75686,"Shop No.20, Vishwa Gandhi Complex, Gundopanth St, Ragipet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=1722158589637227587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
VASANT ELECTRICALS- GODOWN,Electrical,B,4.9,242.0,099809 96666,"DANDINA SUBBAMMA LANE, No. 10, KV Temple Street Cross, Balepete, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=751265870807595321&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
BHOOMI CARDS,Wedding Cards,B,4.8,244.0,,"CHBS ,NO 29, KV Temple Street Cross, opp. SHREE CHARAN BANK, Santhusapet, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=6610402541304111878&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Rishabh Fancy Store,Imitation Jewellery,B,4.8,237.0,099640 18261,"230 Main Road, Rangaswamy Temple St, near Manak Mawa, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=12176616841875781118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Shri Shankeshwar Hardware,Hardware,B,4.9,226.0,098452 41621,"No.34,Opp.C.B.Bhandari College, Kilari Rd, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=16813927366870251512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Moksh Creation,Textile,B,4.6,240.0,098441 73709,"Shop no 13, 1, Chickpet Rd, Ragipet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=4436791133379305041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Padmashree Paper Mart,Paper/Stationery,A,4.7,234.0,080 2225 3709,"Shop No.#164, A, Akkipete Main Rd, Sowrashtrapet, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=13334738875202459900&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sri Eshwara Cards,Wedding Cards,B,4.8,229.0,098452 83864,"151, Sultanpete Main Rd, Manivartapete, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=9425396145795048288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Wholesale sarees Mahalaxmi,Saree,B,5.0,217.0,097430 00701,"1st floor, Devatha Sriram Market, 81/9, D.K lane, Kumbarpet, cross, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=7642477999511580601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
BREEZE AGENCIES,General,B,4.4,241.0,098801 92366,"82, 1st Main, 2nd Cross Rd, New Tharagupet, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=12898165012100384435&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Mahendra Apparels,Garments,B,4.9,215.0,094480 85848,"1st Floor, 42, Gopalakrishna Temple St, opp. Vijayalakshmi Theatre, Basettypet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=17369362705494572897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Nakoda Cards | Wedding Card Manufacturer,Wedding Cards,B,3.8,266.0,099642 35012,"No. 196/2, C M Complex, Sultanpete Main Rd, opposite to Balaji Complex, Santhusapet, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=10965212776115548274&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
MANAN FASHIONS,Saree,B,4.9,200.0,099640 24273,"UG-3 Victory Avenue #16 HOSPITAL ROAD PARALLEL, TO, Kempegowda Rd, opp. HOTEL TAP PARADISE, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=9137296894279785317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
ASHOK BANGLES (Since 1975),General,B,4.6,207.0,098449 00809,"89 Laxman Rao Road, Balepet Cross, near Udupi Krishna Hotel, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=7308601262480294792&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Chandra Harmonium Works,Musical Instruments,C,4.2,223.0,093423 55796,"No.53, 1, Old Taluk Cutchery Rd, near Swami Vivekanand Statue, Balepete, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=1784257873049843867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Solanki Gift centre,Gift Bags,B,4.9,190.0,080 4151 2848,"Girnar Plaza 285, Shop No G1 Ground Floor, Ragipet, Old Tharagupet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=16886379084808530437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sri Alankar Card Palace (ಅಲಂಕಾರ್ ಕಾರ್ಡ್),Invitation Covers,B,4.7,197.0,080957 71783,"27, opp. to Shree Charan bank, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=17714273360874818396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sarvodaya Steel Corporation,Steel/Utensils,B,4.6,200.0,098440 53661,"No. 72 Basement J B K Complex, mn rd, Nagarathpet Main Rd, near Ram Medicals, Gollarpet, Kumbarpet, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",https://maps.google.com/?cid=12930755384442845350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Megawatts Electric Co,Electrical,B,4.9,186.0,095918 88188,"New No. 1, 359, Chickpet Rd, opp. Varmahalakshmi Silks, near Vijay Vihar Hotel, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=11432122561825163892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
R C Scientific Gold / Vani Gold/Srivani,Imitation Jewellery,B,4.4,202.0,080 2287 0088,"7, AS Char St, Ranasinghpete, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=7221041995437323396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
MAHARAJA ELECTRICALS ( Hi-Fi Authorised distributor ),Electrical,B,4.8,172.0,097430 64443,"No 6/41 DVK COMPLEX A.M lane, BVK Iyengar Rd, near DOSA point, Basettypet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=7729038365173166671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Art Papier,Gift Bags,B,4.1,195.0,080 4203 2013,"AM Building, Nagraj Fire Works, 160, near Sultanpete Main Road, Sowrashtrapet, Sultanpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=14993273870872474991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
L D Fashion,Textile,B,4.6,171.0,099164 91972,"D N, R Market, 102, AM Ln, behind Devatha Market, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=16398368740150978996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
M Goutham Jewellers,Watches,C,4.5,173.0,098444 99485,"No 246, Rangaswamy Temple St, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=1316652645346170859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Sri Ranga Jewellers,Jewellery,C,4.9,157.0,098459 94130,"A, 105, Avenue Rd, near Chickpet Road, Kumbarpet, Ganigarpet, Nagarathpete, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=13021729617219652633&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
KANCHI CO MAHALAXMI SILKS,Saree,B,4.2,183.0,,"160, Chickpet Rd, Kumbarpet, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=4594356053388902571&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Wholesale saree chickpet,Saree,B,5.0,153.0,098865 98845,"10 vimal manision, 2nd Floor, chickpet, Bengaluru, Karnataka 560021, India",https://maps.google.com/?cid=11942882133970339148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
Shreeji Textiles,Textile,B,4.5,160.0,098443 12507,"675, Chickpet Rd, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://maps.google.com/?cid=12073409548552455580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,pending
